Area,Crime_Type,Number_of_Crimes,Latitude,Longitude
Rajajinagar,Molestation,8,12.99287779145546,77.55490267542123
Hebbal,Chain Snatching,2,13.039159624045194,77.59253405313828
Koramangala,Theft,7,12.936650395474825,77.62731023121525
Marathahalli,Murder,10,12.960926768990614,77.70242386980098
Banashankari,Kidnapping,5,12.917937332957841,77.5714017996195
BTM Layout,Assault,3,12.913745508600764,77.60597862742426
Hebbal,Kidnapping,10,13.03775602624273,77.58756492615488
Banashankari,Murder,1,12.916269583416216,77.57664563280159
Indiranagar,Cyber Crime,9,12.96877013177698,77.64614892764395
Banashankari,Pickpocket,7,12.912383756265806,77.57147523664324
MG Road,Pickpocket,10,12.970167688478174,77.60350206880608
Koramangala,Chain Snatching,10,12.9336302999808,77.62414354418657
Bellandur,Theft,7,12.925655899632012,77.68463327544431
Koramangala,Assault,8,12.936906788518696,77.62661767835739
Banashankari,Molestation,5,12.915138576589877,77.57056769694171
Whitefield,Cyber Crime,2,12.968840864218773,77.75435981165488
BTM Layout,Murder,7,12.913538940761935,77.61338196705634
Basavanagudi,Assault,7,12.938403250076856,77.57526881908358
Jayanagar,Burglary,10,12.924911179222079,77.59161055693156
Bellandur,Chain Snatching,10,12.922343093810808,77.68498720317224
Basavanagudi,Assault,5,12.94037426501561,77.57745300266933
Marathahalli,Chain Snatching,2,12.95727321405198,77.69980000077516
Hebbal,Molestation,1,13.037898548457424,77.59369413800998
Banashankari,Kidnapping,8,12.914312206528914,77.57297305677821
Yeshwanthpur,Chain Snatching,8,13.015722149864496,77.55294113876151
Basavanagudi,Kidnapping,5,12.938910527127813,77.57366259852257
Yeshwanthpur,Molestation,10,13.013704773401356,77.55408269894285
Rajajinagar,Chain Snatching,2,12.986630901443167,77.55486220010853
MG Road,Cyber Crime,7,12.971926502932924,77.6093301428003
Koramangala,Molestation,7,12.93963656173994,77.62738347743327
Basavanagudi,Murder,1,12.942228748643393,77.57560702400323
Ulsoor,Kidnapping,4,12.984952961193915,77.62720059275051
MG Road,Burglary,9,12.971428644025305,77.60832766404576
Frazer Town,Molestation,1,12.998349252374723,77.62479485882608
Banashankari,Eve-Teasing,1,12.911849337261955,77.5755384661211
MG Road,Theft,7,12.971258142570736,77.60591936520318
KR Puram,Theft,8,13.011372828066241,77.69969731821716
Indiranagar,Molestation,5,12.967912204602008,77.63663308994228
BTM Layout,Assault,10,12.921221715383307,77.60797728990745
Frazer Town,Eve-Teasing,8,12.99380053631664,77.62373211818085
Ulsoor,Pickpocket,1,12.978202900700419,77.62438397178761
MG Road,Molestation,2,12.973439798520554,77.6081719836322
Frazer Town,Cyber Crime,7,12.996663589607868,77.62881113450001
Ulsoor,Kidnapping,7,12.986488244183231,77.63187581308965
Ulsoor,Cyber Crime,1,12.980229897487211,77.62831841446743
Frazer Town,Chain Snatching,5,13.001179657888986,77.62433082137026
Jayanagar,Burglary,9,12.928047108682813,77.59716316067738
Hebbal,Eve-Teasing,7,13.033737546788192,77.59322132274905
Yeshwanthpur,Cyber Crime,4,13.013842757350593,77.55336519533819
Jayanagar,Assault,10,12.922724439566942,77.58993834371148
Malleshwaram,Cyber Crime,4,13.001580481422787,77.57315530864015
Basavanagudi,Assault,4,12.936851965118736,77.57799360678563
BTM Layout,Assault,7,12.915431310632155,77.61286858880146
HSR Layout,Kidnapping,3,12.915879804309467,77.63991679795892
Yeshwanthpur,Eve-Teasing,5,13.015215074284102,77.5583594293504
Marathahalli,Cyber Crime,10,12.95811526477699,77.69770741208596
Banashankari,Theft,5,12.908984433489362,77.57798172983976
Marathahalli,Theft,9,12.954102791264521,77.70610265589451
KR Puram,Murder,2,13.012027630046472,77.69341989312085
Ulsoor,Kidnapping,1,12.982621965518323,77.62610329924469
Frazer Town,Eve-Teasing,2,12.997375550855667,77.62707961126407
BTM Layout,Kidnapping,3,12.912243259300132,77.61030521149677
Whitefield,Molestation,2,12.969814265462936,77.7494502367767
Banashankari,Murder,10,12.918299285873701,77.57128382493482
Malleshwaram,Eve-Teasing,8,12.998505650376423,77.56468453585707
Basavanagudi,Cyber Crime,4,12.93953419037573,77.57813287666094
Bellandur,Assault,4,12.92070629691724,77.68092000436499
Indiranagar,Eve-Teasing,3,12.974560342366203,77.64125482071623
MG Road,Eve-Teasing,6,12.970720918933905,77.60465628341692
Marathahalli,Cyber Crime,3,12.958982476708808,77.70477448839266
Whitefield,Chain Snatching,6,12.97284057086928,77.74577437891112
Indiranagar,Pickpocket,2,12.973444557454897,77.64463864294454
Ulsoor,Cyber Crime,5,12.981969485454306,77.62777669870792
BTM Layout,Pickpocket,4,12.916848336722914,77.60859012566692
Bellandur,Kidnapping,10,12.920727554344355,77.6841554938319
Marathahalli,Assault,2,12.953853805688638,77.70017341430372
Vijayanagar,Molestation,4,12.97466562830601,77.56164742516955
Whitefield,Theft,4,12.97237815616475,77.74808733947587
Marathahalli,Kidnapping,4,12.955379918289042,77.7063179399215
Vijayanagar,Assault,2,12.970106476058028,77.55392563097458
Marathahalli,Assault,10,12.95986188221047,77.70621774885613
HSR Layout,Assault,1,12.912019908406991,77.644974553123
Frazer Town,Cyber Crime,9,12.99385174159,77.62403343923215
Frazer Town,Murder,9,12.995776819116744,77.62117050061892
BTM Layout,Eve-Teasing,1,12.918415167152363,77.60570353385769
Banashankari,Theft,2,12.91640388823095,77.57432474384883
HSR Layout,Assault,8,12.911532948107268,77.64274613626603
Frazer Town,Eve-Teasing,8,13.001584394708873,77.6246968668235
BTM Layout,Molestation,6,12.917360295605908,77.61500894761762
Indiranagar,Murder,7,12.974738954417848,77.63883883934798
HSR Layout,Kidnapping,3,12.911160630922987,77.64491949302986
Yeshwanthpur,Cyber Crime,5,13.016665660519937,77.55736675238103
Banashankari,Burglary,7,12.917681035963492,77.5691348613665
Jayanagar,Theft,6,12.925217796541325,77.59132244576587
Electronic City,Burglary,6,12.847912367559882,77.66026811782386
Ulsoor,Kidnapping,3,12.981869910164924,77.62807343608281
Bellandur,Molestation,6,12.92605678561648,77.68429072119132
Whitefield,Pickpocket,9,12.969049187497372,77.75069324444445
KR Puram,Eve-Teasing,9,13.012347629540898,77.69786220754541
HSR Layout,Murder,3,12.913500918743125,77.64235941410266
Koramangala,Cyber Crime,4,12.931804159969452,77.6198281618799
Yeshwanthpur,Chain Snatching,7,13.019624540670353,77.55478850655575
Rajajinagar,Assault,8,12.990867864462249,77.55167980491863
Frazer Town,Burglary,4,13.00143483318008,77.62393488875132
KR Puram,Burglary,2,13.013710636738342,77.69066826331425
Hebbal,Assault,4,13.03287715440592,77.59239880581819
Indiranagar,Eve-Teasing,8,12.974363699208887,77.63872453402224
Rajajinagar,Burglary,6,12.99122082971249,77.55906669749444
KR Puram,Assault,10,13.005984699270877,77.6970216528674
Banashankari,Theft,1,12.914411566979446,77.57739964760616
Vijayanagar,Cyber Crime,4,12.975580122303642,77.55848610248415
Whitefield,Chain Snatching,9,12.968785520675114,77.74796616809063
Whitefield,Assault,10,12.972643183823546,77.75073670063911
Hebbal,Molestation,9,13.031251034782223,77.59339996575102
Whitefield,Murder,8,12.97199180714011,77.75350304829041
Banashankari,Burglary,1,12.908770883583195,77.57456053223908
Banashankari,Murder,7,12.910714315059748,77.57538870807676
Frazer Town,Pickpocket,4,12.996489085937254,77.62152274253084
Whitefield,Assault,7,12.973820226602074,77.7506628466893
Jayanagar,Assault,3,12.924972173990964,77.59827611374969
Bellandur,Chain Snatching,2,12.927023155485355,77.68135503002917
Koramangala,Burglary,9,12.932764792937173,77.62562611470182
Koramangala,Pickpocket,5,12.939968732815945,77.62617557608212
Rajajinagar,Assault,1,12.992426990140666,77.55078734533234
Jayanagar,Murder,3,12.926381690502575,77.58955887973454
BTM Layout,Molestation,7,12.919835190988216,77.61131125171032
Yeshwanthpur,Pickpocket,7,13.014174208357762,77.55223727025388
Jayanagar,Eve-Teasing,5,12.926227363694146,77.59053435242554
Basavanagudi,Kidnapping,2,12.943399273533485,77.57835053675129
Yeshwanthpur,Molestation,1,13.016532963914367,77.55851567527858
Jayanagar,Burglary,2,12.92238184730211,77.59075057465982
MG Road,Assault,4,12.978501460698306,77.60717026727473
KR Puram,Burglary,6,13.014177195417329,77.69519471256956
Jayanagar,Eve-Teasing,4,12.92795672680461,77.59053968221627
MG Road,Kidnapping,7,12.974660774619428,77.60725444042764
Indiranagar,Chain Snatching,8,12.969707169497154,77.64453935916767
Banashankari,Cyber Crime,3,12.908408184409252,77.57345107130664
Yeshwanthpur,Kidnapping,9,13.017672980874107,77.55514334268078
Electronic City,Murder,8,12.849629115042722,77.65795378504684
Banashankari,Molestation,7,12.914705075258631,77.57293419679345
Jayanagar,Burglary,9,12.920158614230543,77.59529653020319
Marathahalli,Murder,5,12.952759987767474,77.70061103280317
Ulsoor,Theft,1,12.979266748194725,77.62597857941086
Hebbal,Theft,2,13.040148396414356,77.59578277585632
KR Puram,Kidnapping,9,13.007480359043665,77.6981772487183
Frazer Town,Eve-Teasing,1,13.00208770662555,77.62644075017037
BTM Layout,Pickpocket,3,12.916493050500115,77.60756916830307
Rajajinagar,Murder,5,12.994468263679051,77.55500842145862
Jayanagar,Cyber Crime,1,12.924242843065143,77.5948123380733
Basavanagudi,Chain Snatching,9,12.94649088271195,77.57720991308797
Bellandur,Eve-Teasing,10,12.925220961159068,77.68166636245732
Vijayanagar,Cyber Crime,2,12.973628950962041,77.55256818070704
Whitefield,Molestation,4,12.96976452644469,77.75487261515309
Marathahalli,Pickpocket,1,12.952891703570948,77.69917311421554
Indiranagar,Burglary,1,12.969003966118485,77.63758411244216
Frazer Town,Theft,6,13.002529244878694,77.62259346639777
Electronic City,Cyber Crime,2,12.84148738263137,77.65994970125814
HSR Layout,Pickpocket,6,12.911623112273121,77.64506769290098
Koramangala,Eve-Teasing,3,12.934410276539037,77.62089583177057
Marathahalli,Assault,5,12.9522779194911,77.70425791303197
Indiranagar,Kidnapping,2,12.973825218536778,77.63720658987071
Rajajinagar,Molestation,7,12.994608670391932,77.55737927842615
KR Puram,Molestation,10,13.014273969480437,77.70013115393859
HSR Layout,Chain Snatching,2,12.91207940190867,77.64545138150702
MG Road,Burglary,3,12.975165956014738,77.60846642121476
Marathahalli,Assault,5,12.959801321097355,77.70312947330515
Ulsoor,Pickpocket,5,12.97895048740441,77.63295436727857
MG Road,Theft,1,12.970015879038627,77.60248380997041
Ulsoor,Kidnapping,5,12.9850132632428,77.62646811676004
Koramangala,Burglary,8,12.931203833821124,77.6294849745829
Jayanagar,Assault,2,12.923896943327996,77.59859070806513
Frazer Town,Kidnapping,1,13.000647576371806,77.62805945746535
HSR Layout,Eve-Teasing,4,12.908825945334138,77.63996506507021
Malleshwaram,Cyber Crime,7,13.0019716702357,77.57108600055163
Frazer Town,Molestation,3,13.003341641396068,77.6239484121133
Rajajinagar,Theft,6,12.990993004654873,77.55968917831571
Ulsoor,Pickpocket,3,12.984924536331288,77.630622120434
Hebbal,Theft,10,13.032320049618596,77.58667728248165
HSR Layout,Kidnapping,2,12.914618321896876,77.63913431045599
KR Puram,Kidnapping,2,13.005736919486344,77.6907845647818
Electronic City,Cyber Crime,6,12.844011019710294,77.65962979173487
Vijayanagar,Assault,4,12.973249289828827,77.55329117589818
Bellandur,Theft,3,12.922214986176822,77.68247319064817
KR Puram,Eve-Teasing,9,13.0074006801895,77.69081828921114
Rajajinagar,Burglary,10,12.98846514325883,77.55759702423083
Vijayanagar,Murder,10,12.971966588014297,77.56172243951794
MG Road,Kidnapping,8,12.974163079120714,77.60048028009294
HSR Layout,Assault,8,12.914887931012336,77.6426126270329
Whitefield,Molestation,10,12.970401321083282,77.75427407139227
Koramangala,Eve-Teasing,7,12.93618989960479,77.6249813121089
Marathahalli,Theft,4,12.956710817956198,77.70410978182323
Vijayanagar,Assault,5,12.975969517856544,77.55459979661705
Hebbal,Murder,2,13.034705800243973,77.59407842235217
Indiranagar,Eve-Teasing,9,12.976490986064283,77.63695144926437
Vijayanagar,Eve-Teasing,3,12.972140277995685,77.55699993243066
Frazer Town,Kidnapping,8,12.997592670711544,77.62284493758159
Ulsoor,Eve-Teasing,2,12.98553364119797,77.62661596160649
Indiranagar,Pickpocket,6,12.975083072946683,77.63670196892551
BTM Layout,Cyber Crime,4,12.917576710136489,77.60680684778634
Marathahalli,Cyber Crime,8,12.953114935312872,77.6972295486022
Frazer Town,Murder,10,13.001702394961274,77.6206255011267
Basavanagudi,Chain Snatching,8,12.937092694300784,77.57265288239725
KR Puram,Murder,2,13.007755531333531,77.69595700001544
Bellandur,Molestation,4,12.92009865786164,77.68166894281954
Basavanagudi,Theft,9,12.944414869255054,77.5776592154413
KR Puram,Kidnapping,5,13.009220078532858,77.691889394985
Frazer Town,Kidnapping,6,13.000996730518864,77.62506903062722
Ulsoor,Kidnapping,5,12.980256412776594,77.62768037167437
Vijayanagar,Assault,2,12.973499975417324,77.55712984266756
Ulsoor,Murder,9,12.98773832183458,77.63016016864717
Frazer Town,Murder,2,13.003173376400754,77.62338407777595
Indiranagar,Murder,6,12.968925459513528,77.63854091038596
Basavanagudi,Assault,10,12.938740827640775,77.57035974735679
Vijayanagar,Kidnapping,5,12.968538537090774,77.55796997221903
Rajajinagar,Pickpocket,2,12.986703309950935,77.55273019285248
Vijayanagar,Chain Snatching,9,12.971372943098116,77.55968410170524
Marathahalli,Theft,5,12.958006095799371,77.70089820214687
Basavanagudi,Assault,5,12.939595849382897,77.57268033396689
BTM Layout,Eve-Teasing,10,12.915486328167452,77.60928281087978
Frazer Town,Cyber Crime,5,12.997491652779352,77.62338831090544
KR Puram,Pickpocket,7,13.014153065284546,77.69976287399894
Malleshwaram,Chain Snatching,7,13.007842006114531,77.5674392538782
Whitefield,Cyber Crime,8,12.96598862645153,77.75473321990351
Basavanagudi,Eve-Teasing,5,12.937394539080449,77.57001905735278
MG Road,Molestation,4,12.978773495196787,77.6057695900461
Jayanagar,Murder,5,12.925749282510987,77.59595626261451
Malleshwaram,Chain Snatching,8,13.006338973290896,77.57101575184326
Yeshwanthpur,Theft,4,13.017789294011221,77.55571838998499
Indiranagar,Eve-Teasing,1,12.967925508382757,77.64547137300679
Indiranagar,Eve-Teasing,4,12.97342104029256,77.64002887223046
Marathahalli,Chain Snatching,9,12.956482322536123,77.69854363537355
KR Puram,Eve-Teasing,6,13.006580179668925,77.69039795748787
Koramangala,Chain Snatching,9,12.932150987864068,77.62112755981325
Rajajinagar,Eve-Teasing,8,12.988444479268747,77.55542078636215
Jayanagar,Pickpocket,8,12.928492598072015,77.59213338535058
Electronic City,Eve-Teasing,9,12.842370920581747,77.65508943238147
Banashankari,Chain Snatching,4,12.909353267218586,77.57798505374247
Frazer Town,Kidnapping,9,12.995224805076845,77.62764640451539
Rajajinagar,Theft,6,12.991814284645677,77.55768283875484
Indiranagar,Burglary,9,12.97013493195202,77.64330498284701
Basavanagudi,Theft,7,12.94082424364597,77.57328310067027
Yeshwanthpur,Molestation,8,13.01466875386314,77.55626981280649
Indiranagar,Pickpocket,5,12.970299133952679,77.64148893523742
Ulsoor,Murder,4,12.978751611401355,77.63119793560764
Frazer Town,Eve-Teasing,8,13.001887370615838,77.62685101173328
Yeshwanthpur,Assault,8,13.014284408619128,77.55354610744916
Bellandur,Cyber Crime,8,12.927537465806292,77.68860742348133
Yeshwanthpur,Burglary,6,13.02004804074293,77.55649165307517
BTM Layout,Eve-Teasing,10,12.918765333241472,77.61246495189866
Koramangala,Pickpocket,1,12.930584731057943,77.62377255108508
Malleshwaram,Chain Snatching,4,12.99923206306327,77.57000115749125
Banashankari,Molestation,4,12.909882996183736,77.57521648726511
Rajajinagar,Cyber Crime,3,12.990722640635674,77.55035548835947
KR Puram,Theft,9,13.01209420132115,77.69362672734836
MG Road,Murder,6,12.978290793420708,77.6047708025143
Jayanagar,Pickpocket,6,12.929476106613253,77.59287875619161
Frazer Town,Theft,7,12.995348462218724,77.62951030618557
Yeshwanthpur,Chain Snatching,9,13.019321308626434,77.55422284452952
Koramangala,Molestation,2,12.93068889488791,77.6268663452163
Koramangala,Theft,3,12.936040909849718,77.62755188123171
Vijayanagar,Kidnapping,7,12.968138540731097,77.56179079885123
Indiranagar,Molestation,1,12.970791990381041,77.64054440066114
KR Puram,Theft,5,13.012761159299018,77.69952871638418
Basavanagudi,Murder,9,12.939031176823084,77.5738531677265
Yeshwanthpur,Eve-Teasing,3,13.017183061974958,77.5533553259736
Jayanagar,Assault,1,12.926103753940035,77.59517230053471
BTM Layout,Chain Snatching,4,12.915415493276006,77.61216312457458
KR Puram,Theft,3,13.012546831243629,77.69778758877618
KR Puram,Theft,10,13.006252731085363,77.69942308651149
Indiranagar,Eve-Teasing,6,12.97369619340306,77.64388235552822
Frazer Town,Murder,4,13.000505256528383,77.62079999340534
Whitefield,Pickpocket,2,12.967709883266433,77.75025056071172
Jayanagar,Chain Snatching,1,12.927729119616776,77.59774535428508
Vijayanagar,Chain Snatching,5,12.976294265528203,77.55578346830801
HSR Layout,Pickpocket,6,12.906738149175764,77.63875894874616
Ulsoor,Molestation,7,12.987196306274809,77.62535983749258
BTM Layout,Chain Snatching,2,12.916703555280897,77.60724745883421
Frazer Town,Cyber Crime,2,12.99629324810362,77.62933107053904
Indiranagar,Eve-Teasing,6,12.974016349979461,77.64163121254879
Basavanagudi,Molestation,7,12.946399139523121,77.57694993574539
Electronic City,Theft,7,12.843120910203082,77.65661599234093
Whitefield,Murder,7,12.970388682873873,77.74968932853538
Hebbal,Chain Snatching,8,13.036218216781883,77.58667863839014
Yeshwanthpur,Burglary,6,13.01583306074404,77.55680162603898
KR Puram,Assault,8,13.014594097386176,77.69467460052435
Banashankari,Chain Snatching,6,12.913806228301992,77.57836053721147
MG Road,Molestation,1,12.976250095865385,77.60706138147728
Whitefield,Burglary,6,12.97176670483467,77.74991088631032
HSR Layout,Pickpocket,5,12.911884325341813,77.6395957014228
Indiranagar,Cyber Crime,8,12.97098647529836,77.64040222753387
BTM Layout,Theft,9,12.912641832642304,77.61067936810758
Koramangala,Theft,2,12.934040631379077,77.6248610801607
MG Road,Assault,6,12.97699580385398,77.60651976815846
KR Puram,Molestation,7,13.011148745369672,77.697991135239
Basavanagudi,Cyber Crime,7,12.942680950707333,77.5784059756363
Koramangala,Pickpocket,8,12.932198369477472,77.62160922663669
Basavanagudi,Cyber Crime,5,12.944052593660134,77.56863556917736
Marathahalli,Assault,9,12.954360118723972,77.70088156994804
Yeshwanthpur,Eve-Teasing,4,13.022579436148668,77.55249704793948
Hebbal,Burglary,5,13.035549209789657,77.5882985949807
HSR Layout,Eve-Teasing,3,12.916454474282958,77.64471394576732
MG Road,Molestation,3,12.976973604582422,77.60012031754675
Koramangala,Kidnapping,6,12.934242631358709,77.62461336753852
MG Road,Kidnapping,2,12.973054689326096,77.60210639092011
Indiranagar,Molestation,3,12.968526801047128,77.6459868229447
Banashankari,Pickpocket,4,12.91502719601184,77.57038295815994
BTM Layout,Pickpocket,7,12.91163928800939,77.6109822038661
Jayanagar,Molestation,3,12.923543938481425,77.5952858328411
Rajajinagar,Cyber Crime,2,12.98737079073053,77.55190629478223
Indiranagar,Molestation,8,12.967280407477187,77.63778714285378
Electronic City,Kidnapping,9,12.844876451981651,77.66191820810346
Ulsoor,Assault,9,12.986913642952814,77.62749251650867
Marathahalli,Chain Snatching,8,12.957562010878894,77.70100069316726
Marathahalli,Eve-Teasing,5,12.959801269388878,77.69878627780994
Yeshwanthpur,Chain Snatching,9,13.021375558046275,77.55982331737532
Jayanagar,Theft,7,12.92369403693786,77.59734692796056
Marathahalli,Kidnapping,7,12.954528040758339,77.69907540271733
Vijayanagar,Eve-Teasing,10,12.975970635980925,77.55773611563346
Indiranagar,Eve-Teasing,3,12.969196521316949,77.63737568044434
Bellandur,Chain Snatching,10,12.925709492746536,77.68356589969808
Koramangala,Eve-Teasing,3,12.936173699198203,77.6196080826798
KR Puram,Eve-Teasing,5,13.011629390438971,77.69568629241985
Frazer Town,Pickpocket,9,12.997812688018811,77.6276839657949
HSR Layout,Murder,9,12.908787522892995,77.64313000177286
MG Road,Murder,9,12.97452203732149,77.60265370541201
Banashankari,Chain Snatching,2,12.91465222495346,77.57129161159494
Yeshwanthpur,Murder,9,13.019922740297856,77.55300554340528
Basavanagudi,Molestation,6,12.94286907403021,77.57354153804826
Electronic City,Burglary,9,12.850013211421897,77.66051510417223
Indiranagar,Theft,5,12.968512098390274,77.64077624819367
Electronic City,Theft,6,12.849647359619363,77.65638926668854
Yeshwanthpur,Assault,10,13.01631577290486,77.5524436860247
Ulsoor,Assault,10,12.986407188942659,77.62589773209926
Vijayanagar,Pickpocket,8,12.969077678333766,77.55369151734246
Vijayanagar,Kidnapping,4,12.969496748439393,77.55636650613356
Yeshwanthpur,Eve-Teasing,8,13.022052418894049,77.55439303753175
Banashankari,Pickpocket,5,12.913608838955001,77.56909046023522
Rajajinagar,Murder,5,12.988527204889047,77.55021335295021
HSR Layout,Chain Snatching,5,12.916449545528915,77.63984820843693
KR Puram,Eve-Teasing,1,13.011470847021766,77.69381274660469
Koramangala,Molestation,9,12.932535782395135,77.62201016675043
Electronic City,Cyber Crime,8,12.848538131840165,77.66336024924195
Malleshwaram,Cyber Crime,7,12.99970512764491,77.57441443160357
Hebbal,Murder,9,13.04037433477346,77.59122816059909
KR Puram,Molestation,3,13.005997563154324,77.69082680529533
Yeshwanthpur,Chain Snatching,5,13.016921247973912,77.55374219627858
Bellandur,Cyber Crime,9,12.927951634788986,77.68541519183772
MG Road,Pickpocket,4,12.973684091833018,77.60180312415311
Yeshwanthpur,Chain Snatching,8,13.016866788119897,77.5533680019787
Vijayanagar,Molestation,6,12.974824649237197,77.55577518116257
Ulsoor,Murder,6,12.981021693261415,77.62434846849749
Indiranagar,Murder,8,12.969201810177895,77.64231618792513
KR Puram,Molestation,3,13.014286870764495,77.6910599480945
Hebbal,Cyber Crime,5,13.036931913883652,77.59265179645641
Basavanagudi,Pickpocket,6,12.942979012273568,77.57573159457617
Hebbal,Kidnapping,10,13.036192383494228,77.59027353434405
Ulsoor,Murder,7,12.981828829654777,77.63266757630223
Koramangala,Burglary,8,12.935363026998166,77.62621382212467
BTM Layout,Kidnapping,2,12.918905755270824,77.60762114819173
Banashankari,Theft,6,12.910261094335896,77.57179187872913
Vijayanagar,Eve-Teasing,7,12.968075383285294,77.56017674317278
Indiranagar,Murder,1,12.969252051915966,77.63691897814891
Hebbal,Molestation,5,13.036663438052125,77.59357106984359
Yeshwanthpur,Assault,2,13.017442968470752,77.55503945079109
Banashankari,Murder,3,12.913940804972214,77.57248689896595
Vijayanagar,Cyber Crime,1,12.971185943992715,77.55903343696619
Hebbal,Pickpocket,8,13.03858913483726,77.5889065842944
Koramangala,Assault,5,12.932511742229565,77.62672249739903
Whitefield,Chain Snatching,8,12.974238983352993,77.753968199333
Marathahalli,Pickpocket,7,12.95413585842795,77.70473655538096
MG Road,Molestation,10,12.979131937488301,77.6084486254864
Koramangala,Eve-Teasing,7,12.93528524105641,77.6213107767973
HSR Layout,Kidnapping,2,12.911656453481154,77.63800657725454
Yeshwanthpur,Theft,7,13.017542630806899,77.55122014097218
KR Puram,Assault,2,13.006859097589151,77.69537534824063
Basavanagudi,Eve-Teasing,2,12.943190879413619,77.5715895039835
Hebbal,Burglary,2,13.036229562252885,77.5896768373158
Bellandur,Theft,6,12.926410185290177,77.68141251330789
Bellandur,Chain Snatching,5,12.923334726861384,77.68102183638734
Malleshwaram,Molestation,1,12.99906220490837,77.57297017776868
Basavanagudi,Burglary,5,12.93781680846139,77.57351571928388
Banashankari,Cyber Crime,1,12.909330658153971,77.57585093253793
Basavanagudi,Burglary,1,12.939072747175215,77.57084738162625
Basavanagudi,Pickpocket,3,12.94359030607224,77.5735372328435
Yeshwanthpur,Theft,3,13.019769078593114,77.55851680008526
Ulsoor,Kidnapping,7,12.983796326286946,77.62331055749863
MG Road,Burglary,7,12.971572569956999,77.6009438502401
Rajajinagar,Murder,10,12.987726310728002,77.55745969247798
Hebbal,Pickpocket,6,13.0388899164776,77.59046450517471
Electronic City,Burglary,1,12.84437721097889,77.66346693273003
Whitefield,Theft,4,12.965785839163493,77.75199841895711
Koramangala,Molestation,1,12.930830500179042,77.62355170315163
Banashankari,Theft,10,12.912150415220653,77.56966187497083
Jayanagar,Eve-Teasing,3,12.924249627712628,77.59162872506863
